"region","time","sector","intermediary_product","product","element","value"
"EU27+1",1946,"Construction","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Wire Rod","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Bar","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Welded Tube","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Seamless Tube","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cast Iron","All",0
"EU27+1",1946,"Construction","Steel Intermediary","Cast Steel","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Light Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Heavy Sections","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rail","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Rebar","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Wire Rod","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Bar","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Plate","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Coil Galvanized","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Hot Rolled Narrow Strip","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Galvanized","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Organic Coated","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cold Rolled Coil Tinned","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Electrical Sheet","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Welded Tube","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Seamless Tube","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Iron","All",0
"EU27+1",1946,"Automotive","Steel Intermediary","Cast Steel","All",0
